row_id,provider,method,path,operationId,summary,description
8,ably.io,DELETE,/push/deviceRegistrations,unregisterAllPushDevices,Unregister matching devices for push notifications,Unregisters devices. All their subscriptions for receiving push notifications through channels will also be deleted.
23,adafruit.com,PATCH,/{username}/{type}/{type_id}/acl/{id},updatePermission,Update properties of an existing Permission,
31,adafruit.com,PUT,/{username}/feeds/{feed_key}/data/{id},replaceData,Replace existing Data,
33,adafruit.com,PUT,/{username}/tokens/{id},replaceToken,Replace an existing Token,
57,akeneo.com,PATCH,/api/rest/v1/assets,patch_pam_assets,Update/create several PAM assets,This endpoint allows you to update several PAM assets at once.
59,akeneo.com,PATCH,/api/rest/v1/attribute-groups,several_attribute_groups_patch,Update/create several attribute groups,This endpoint allows you to update and/or create several attribute groups at once.
64,akeneo.com,PATCH,/api/rest/v1/families,patch_families,Update/create several families,This endpoint allows you to update and/or create several families at once.
101,anchore.io,PUT,/system/feeds/{feed}/{group},toggle_group_enabled,,Disable a specific group within a feed to not sync
121,apacta.com,DELETE,/products/{product_id},,Delete a product,
133,apacta.com,PUT,/users/{user_id}/integration_settings/{integration_settings_user_id},,Edit a user integration setting,
146,api.video,PATCH,/live-streams/{liveStreamId},PATCH_live-streams-liveStreamId,Update a live stream,"Use this endpoint to update the player, or to turn recording on/off (saving a copy of the livestream). NOTE: If the livestream is actively streaming, changing the recording status will only affect the NEXT stream.    The public=false 'private livestream' is available as a BETA feature, and should be limited to livestreams of 3,000 viewers or fewer."
148,api.video,PATCH,/videos/{videoId},PATCH-video,Update a video,"Use this endpoint to update the parameters associated with your video. The video you are updating is determined by the video ID you provide in the path. For each parameter you want to update, include the update in the request body. NOTE: If you are updating an array, you must provide the entire array as what you provide here overwrites what is in the system rather than appending to it. Tutorials using [video update](https://api.video/blog/endpoints/video-update)."
150,api.video,PATCH,/videos/{videoId}/thumbnail,PATCH_videos-videoId-thumbnail,Pick a thumbnail,"Pick a thumbnail from the given time code. If you'd like to upload an image for your thumbnail, use the [Upload a Thumbnail](https://docs.api.video/reference#post_videos-videoid-thumbnail) endpoint. There may be a short delay for the thumbnail to update. Tutorials using [Thumbnail picking](https://api.video/blog/endpoints/video-pick-a-thumbnail)."
152,api2cart.com,DELETE,/cart.delete.json,CartDelete,,Remove store from API2Cart
157,api2cart.com,DELETE,/product.price.delete.json,ProductPriceDelete,,Delete some prices of the product
168,apicurio.local,DELETE,/admin/loggers/{logger},removeLogConfiguration,Removes logger configuration,Removes the configured logger configuration (if any) for the given logger.
210,apispot.io,DELETE,/batch/{id},deleteBatch,,Delete batch
240,apple.com,PATCH,/v1/devices/{id},devices-update_instance,,
274,asana.com,DELETE,/projects/{project_gid},deleteProject,Delete a project,"A specific, existing project can be deleted by making a DELETE request on the URL for that project. Returns an empty data record."
281,asana.com,PUT,/portfolios/{portfolio_gid},updatePortfolio,Update a portfolio,An existing portfolio can be updated by making a PUT request on the URL for that portfolio. Only the fields provided in the `data` block will be updated; any unspecified fields will remain unchanged. Returns the complete updated portfolio record.
291,atlassian.com,DELETE,/rest/api/3/permissionscheme/{schemeId}/permission/{permissionId},deletePermissionSchemeEntity,Delete permission scheme grant,Deletes a permission grant from a permission scheme. See [About permission schemes and grants](../api-group-permission-schemes/#about-permission-schemes-and-grants) for more details. **[Permissions](#permissions) required:** *Administer Jira* [global permission](https://confluence.atlassian.com/x/x4dKLg).
346,avaza.com,PUT,/api/Task,Task_Put,Update a Task.,Requires TaskID and a list of field names to update. The FieldsToUpdate field accepts a string array containing field names that should be updated.
355,azure.com,PATCH,/subscriptions/{subscriptionId}/resourceGroups/{resourceGroupName}/providers/Microsoft.Storage/storageAccounts/{accountName},StorageAccounts_Update,,"The update operation can be used to update the SKU, encryption, access tier, or tags for a storage account. It can also be used to map the account to a custom domain. Only one custom domain is supported per storage account; the replacement/change of custom domain is not supported. In order to replace an old custom domain, the old value must be cleared/unregistered before a new value can be set. The update of multiple properties is supported. This call does not change the storage keys for the acc"
372,bbc.co.uk,PUT,/my/radio/favourites,putPersonalisedRadioBatch,Favourite Episodes and Clips,Update user favourites N.B. Any HTML tags submitted in metadata will be removed
401,biapi.pro,DELETE,/users/{id_user}/connections/{id_connection},,Delete a connection.,This endpoint deletes a connection and all related accounts and transactions.<br><br>
